	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
1644	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	2	hour	003017102001.CEL
1645	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	2	hour	003017102002.CEL
1646	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	8	hour	003017102009.CEL
1647	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	8	hour	003017102010.CEL
1648	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	24	hour	003017102017.CEL
1649	hepatocyte	Rattus norvegicus	bromobenzene	Control	0	micromolar	24	hour	003017102018.CEL
1650	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	2	hour	003017102003.CEL
1651	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	2	hour	003017102004.CEL
1652	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	8	hour	003017102011.CEL
1653	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	8	hour	003017102012.CEL
1654	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	24	hour	003017102019.CEL
1655	hepatocyte	Rattus norvegicus	bromobenzene	Low	8	micromolar	24	hour	003017102020.CEL
1656	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	2	hour	003017102005.CEL
1657	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	2	hour	003017102006.CEL
1658	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	8	hour	003017102013.CEL
1659	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	8	hour	003017102014.CEL
1660	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	24	hour	003017102021.CEL
1661	hepatocyte	Rattus norvegicus	bromobenzene	Middle	40	micromolar	24	hour	003017102022.CEL
1662	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	2	hour	003017102007.CEL
1663	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	2	hour	003017102008.CEL
1664	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	8	hour	003017102015.CEL
1665	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	8	hour	003017102016.CEL
1666	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	24	hour	003017102023.CEL
1667	hepatocyte	Rattus norvegicus	bromobenzene	High	200	micromolar	24	hour	003017102024.CEL
3464	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	2	hour	003016017010.CEL
3465	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	2	hour	003016017011.CEL
3466	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	8	hour	003016017018.CEL
3467	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	8	hour	003016017019.CEL
3468	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	24	hour	003016017026.CEL
3469	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	24	hour	003016017027.CEL
3470	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	2	hour	003016017012.CEL
3471	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	2	hour	003016017013.CEL
3472	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	8	hour	003016017020.CEL
3473	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	8	hour	003016017021.CEL
3474	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	24	hour	003016017028.CEL
3475	hepatocyte	Homo sapiens	clofibrate	Low	12	micromolar	24	hour	003016017029.CEL
3476	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	2	hour	003016017014.CEL
3477	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	2	hour	003016017015.CEL
3478	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	8	hour	003016017022.CEL
3479	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	8	hour	003016017023.CEL
3480	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	24	hour	003016017030.CEL
3481	hepatocyte	Homo sapiens	clofibrate	Middle	60	micromolar	24	hour	003016018001.CEL
3482	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	2	hour	003016017016.CEL
3483	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	2	hour	003016017017.CEL
3484	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	8	hour	003016017024.CEL
3485	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	8	hour	003016017025.CEL
3486	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	24	hour	003016018002.CEL
3487	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	24	hour	003016018003.CEL
3488	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017659006.CEL
3489	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017659007.CEL
3490	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017659008.CEL
3491	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017659018.CEL
3492	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017659019.CEL
3493	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017659020.CEL
3494	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017659030.CEL
3495	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017660001.CEL
3496	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017660002.CEL
3497	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660012.CEL
3498	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660013.CEL
3499	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660014.CEL
3500	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017659009.CEL
3501	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017659010.CEL
3502	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017659011.CEL
3503	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017659021.CEL
3504	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017659022.CEL
3505	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017659023.CEL
3506	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017660003.CEL
3507	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017660004.CEL
3508	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017660005.CEL
3509	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017660015.CEL
3510	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017660016.CEL
3511	liver	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017660017.CEL
3512	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017659012.CEL
3513	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017659013.CEL
3514	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017659014.CEL
3515	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017659024.CEL
3516	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017659025.CEL
3517	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017659026.CEL
3518	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017660006.CEL
3519	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017660007.CEL
3520	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017660008.CEL
3521	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017660018.CEL
3522	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017660019.CEL
3523	liver	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017660020.CEL
3524	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017659015.CEL
3525	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017659016.CEL
3526	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017659017.CEL
3527	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017659027.CEL
3528	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017659028.CEL
3529	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017659029.CEL
3530	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017660009.CEL
3531	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017660010.CEL
3532	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017660011.CEL
3533	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660021.CEL
3534	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660022.CEL
3535	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660023.CEL
3536	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017832005.CEL
3537	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017832006.CEL
3538	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	3	hour	003017832007.CEL
3539	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017832017.CEL
3540	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017832018.CEL
3541	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	6	hour	003017832019.CEL
3542	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017830013.CEL
3543	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017830014.CEL
3544	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	9	hour	003017830015.CEL
3545	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830025.CEL
3546	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830026.CEL
3547	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830027.CEL
3548	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017832008.CEL
3549	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017832009.CEL
3550	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	3	hour	003017832010.CEL
3551	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017832020.CEL
3552	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017832021.CEL
3553	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	6	hour	003017832022.CEL
3554	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017830016.CEL
3555	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017830017.CEL
3556	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	9	hour	003017830018.CEL
3557	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017830028.CEL
3558	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017830029.CEL
3559	kidney	Rattus norvegicus	clofibrate	Low	30	milligram per kilogram	24	hour	003017830030.CEL
3560	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017832011.CEL
3561	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017832012.CEL
3562	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	3	hour	003017832013.CEL
3563	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017832023.CEL
3564	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017832024.CEL
3565	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	6	hour	003017832025.CEL
3566	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017830019.CEL
3567	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017830020.CEL
3568	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	9	hour	003017830021.CEL
3569	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017831001.CEL
3570	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017831002.CEL
3571	kidney	Rattus norvegicus	clofibrate	Middle	100	milligram per kilogram	24	hour	003017831003.CEL
3572	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017832014.CEL
3573	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017832015.CEL
3574	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	3	hour	003017832016.CEL
3575	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017832026.CEL
3576	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017832027.CEL
3577	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	6	hour	003017832028.CEL
3578	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017830022.CEL
3579	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017830023.CEL
3580	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	9	hour	003017830024.CEL
3581	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831004.CEL
3582	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831005.CEL
3583	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831006.CEL
3584	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	2	hour	003017007014.CEL
3585	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	2	hour	003017007015.CEL
3586	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	8	hour	003017007022.CEL
3587	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	8	hour	003017007023.CEL
3588	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	24	hour	003017007030.CEL
3589	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	24	hour	003017008001.CEL
3590	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	2	hour	003017007016.CEL
3591	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	2	hour	003017007017.CEL
3592	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	8	hour	003017007024.CEL
3593	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	8	hour	003017007025.CEL
3594	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	24	hour	003017008002.CEL
3595	hepatocyte	Rattus norvegicus	clofibrate	Low	12	micromolar	24	hour	003017008003.CEL
3596	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	2	hour	003017007018.CEL
3597	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	2	hour	003017007019.CEL
3598	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	8	hour	003017007026.CEL
3599	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	8	hour	003017007027.CEL
3600	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	24	hour	003017008004.CEL
3601	hepatocyte	Rattus norvegicus	clofibrate	Middle	60	micromolar	24	hour	003017008005.CEL
3602	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	2	hour	003017007020.CEL
3603	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	2	hour	003017007021.CEL
3604	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	8	hour	003017007028.CEL
3605	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	8	hour	003017007029.CEL
3606	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	24	hour	003017008006.CEL
3607	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	24	hour	003017008007.CEL
3872	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	2	hour	003016035006.CEL
3873	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	2	hour	003016035007.CEL
3874	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	8	hour	003016035014.CEL
3875	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	8	hour	003016035015.CEL
3876	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	24	hour	003016035022.CEL
3877	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	24	hour	003016035023.CEL
3878	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	2	hour	003016035008.CEL
3879	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	2	hour	003016035009.CEL
3880	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	8	hour	003016035016.CEL
3881	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	8	hour	003016035017.CEL
3882	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	24	hour	003016035024.CEL
3883	hepatocyte	Homo sapiens	cyclophosphamide	Low	80	micromolar	24	hour	003016035025.CEL
3884	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	2	hour	003016035010.CEL
3885	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	2	hour	003016035011.CEL
3886	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	8	hour	003016035018.CEL
3887	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	8	hour	003016035019.CEL
3888	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	24	hour	003016035026.CEL
3889	hepatocyte	Homo sapiens	cyclophosphamide	Middle	400	micromolar	24	hour	003016035027.CEL
3890	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	2	hour	003016035012.CEL
3891	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	2	hour	003016035013.CEL
3892	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	8	hour	003016035020.CEL
3893	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	8	hour	003016035021.CEL
3894	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035028.CEL
3895	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035029.CEL
3896	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017622009.CEL
3897	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017622011.CEL
3898	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017641029.CEL
3899	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622021.CEL
3900	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622022.CEL
3901	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622023.CEL
3902	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621015.CEL
3903	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621016.CEL
3904	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621017.CEL
3905	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621027.CEL
3906	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621028.CEL
3907	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621029.CEL
3908	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622012.CEL
3909	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622013.CEL
3910	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622014.CEL
3911	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622024.CEL
3912	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622025.CEL
3913	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622026.CEL
3914	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621018.CEL
3915	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621019.CEL
3916	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621020.CEL
3917	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017621030.CEL
3918	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017622001.CEL
3919	liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017622002.CEL
3920	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017622016.CEL
3921	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017641030.CEL
3922	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017642001.CEL
3923	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622027.CEL
3924	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622028.CEL
3925	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622029.CEL
3926	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621021.CEL
3927	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621022.CEL
3928	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621023.CEL
3929	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622003.CEL
3930	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622004.CEL
3931	liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622005.CEL
3932	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622018.CEL
3933	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622019.CEL
3934	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622020.CEL
3935	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017622030.CEL
3936	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017623001.CEL
3937	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017623002.CEL
3938	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621024.CEL
3939	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621025.CEL
3940	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621026.CEL
3941	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622006.CEL
3942	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622007.CEL
3943	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622008.CEL
3944	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242022.CEL
3945	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242023.CEL
3946	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242024.CEL
3947	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243004.CEL
3948	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243005.CEL
3949	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243006.CEL
3950	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231026.CEL
3951	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231027.CEL
3952	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231028.CEL
3953	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232008.CEL
3954	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232009.CEL
3955	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232010.CEL
3956	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242025.CEL
3957	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242026.CEL
3958	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242027.CEL
3959	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243007.CEL
3960	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243008.CEL
3961	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243009.CEL
3962	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017231029.CEL
3963	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017231030.CEL
3964	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017232001.CEL
3965	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232011.CEL
3966	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232012.CEL
3967	kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232013.CEL
3968	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242028.CEL
3969	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242029.CEL
3970	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242030.CEL
3971	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243010.CEL
3972	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243011.CEL
3973	kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243012.CEL
