	Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
3318	kidney	Rattus norvegicus	ciprofloxacin	High	1000	milligram per kilogram	24	hour	003017838014.CEL
3319	kidney	Rattus norvegicus	ciprofloxacin	High	1000	milligram per kilogram	24	hour	003017838015.CEL
3324	hepatocyte	Rattus norvegicus	ciprofloxacin	Control	0	micromolar	24	hour	003017121022.CEL
3325	hepatocyte	Rattus norvegicus	ciprofloxacin	Control	0	micromolar	24	hour	003017121023.CEL
3342	hepatocyte	Rattus norvegicus	ciprofloxacin	High	25	micromolar	24	hour	003017121028.CEL
3343	hepatocyte	Rattus norvegicus	ciprofloxacin	High	25	micromolar	24	hour	003017121029.CEL
3353	liver	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017471014.CEL
3354	liver	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017471015.CEL
3355	liver	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017471016.CEL
3389	liver	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017471023.CEL
3390	liver	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017471024.CEL
3391	liver	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017471025.CEL
3401	kidney	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017460028.CEL
3402	kidney	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017460029.CEL
3403	kidney	Rattus norvegicus	cisplatin	Control	0	milligram per kilogram	24	hour	003017460030.CEL
3437	kidney	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017461007.CEL
3438	kidney	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017461008.CEL
3439	kidney	Rattus norvegicus	cisplatin	High	3	milligram per kilogram	24	hour	003017461009.CEL
3444	hepatocyte	Rattus norvegicus	cisplatin	Control	0	micromolar	24	hour	003017463014.CEL
3445	hepatocyte	Rattus norvegicus	cisplatin	Control	0	micromolar	24	hour	003017463015.CEL
3462	hepatocyte	Rattus norvegicus	cisplatin	High	200	micromolar	24	hour	003017594025.CEL
3463	hepatocyte	Rattus norvegicus	cisplatin	High	200	micromolar	24	hour	003017594026.CEL
3468	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	24	hour	003016017026.CEL
3469	hepatocyte	Homo sapiens	clofibrate	Control	0	micromolar	24	hour	003016017027.CEL
3486	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	24	hour	003016018002.CEL
3487	hepatocyte	Homo sapiens	clofibrate	High	300	micromolar	24	hour	003016018003.CEL
3497	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660012.CEL
3498	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660013.CEL
3499	liver	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017660014.CEL
3533	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660021.CEL
3534	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660022.CEL
3535	liver	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017660023.CEL
3545	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830025.CEL
3546	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830026.CEL
3547	kidney	Rattus norvegicus	clofibrate	Control	0	milligram per kilogram	24	hour	003017830027.CEL
3581	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831004.CEL
3582	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831005.CEL
3583	kidney	Rattus norvegicus	clofibrate	High	300	milligram per kilogram	24	hour	003017831006.CEL
3588	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	24	hour	003017007030.CEL
3589	hepatocyte	Rattus norvegicus	clofibrate	Control	0	micromolar	24	hour	003017008001.CEL
3606	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	24	hour	003017008006.CEL
3607	hepatocyte	Rattus norvegicus	clofibrate	High	300	micromolar	24	hour	003017008007.CEL
3610	hepatocyte	Homo sapiens	clomipramine	Control	0	micromolar	24	hour	003016085015.CEL
3611	hepatocyte	Homo sapiens	clomipramine	Control	0	micromolar	24	hour	003016085016.CEL
3618	hepatocyte	Homo sapiens	clomipramine	High	10	micromolar	24	hour	003016085019.CEL
3619	hepatocyte	Homo sapiens	clomipramine	High	10	micromolar	24	hour	003016085020.CEL
3629	liver	Rattus norvegicus	clomipramine	Control	0	milligram per kilogram	24	hour	003017518016.CEL
3630	liver	Rattus norvegicus	clomipramine	Control	0	milligram per kilogram	24	hour	003017518017.CEL
3631	liver	Rattus norvegicus	clomipramine	Control	0	milligram per kilogram	24	hour	003017518018.CEL
3665	liver	Rattus norvegicus	clomipramine	High	100	milligram per kilogram	24	hour	003017518025.CEL
3666	liver	Rattus norvegicus	clomipramine	High	100	milligram per kilogram	24	hour	003017518026.CEL
3667	liver	Rattus norvegicus	clomipramine	High	100	milligram per kilogram	24	hour	003017518027.CEL
3672	hepatocyte	Rattus norvegicus	clomipramine	Control	0	micromolar	24	hour	003017373003.CEL
3673	hepatocyte	Rattus norvegicus	clomipramine	Control	0	micromolar	24	hour	003017373004.CEL
3690	hepatocyte	Rattus norvegicus	clomipramine	High	40	micromolar	24	hour	003017373009.CEL
3691	hepatocyte	Rattus norvegicus	clomipramine	High	40	micromolar	24	hour	003017373010.CEL
3694	hepatocyte	Homo sapiens	colchicine	Control	0	micromolar	24	hour	003016075030.CEL
3695	hepatocyte	Homo sapiens	colchicine	Control	0	micromolar	24	hour	003016076030.CEL
3702	hepatocyte	Homo sapiens	colchicine	High	4000	micromolar	24	hour	003016076004.CEL
3703	hepatocyte	Homo sapiens	colchicine	High	4000	micromolar	24	hour	003016076005.CEL
3713	liver	Rattus norvegicus	colchicine	Control	0	milligram per kilogram	24	hour	003017358017.CEL
3714	liver	Rattus norvegicus	colchicine	Control	0	milligram per kilogram	24	hour	003017358018.CEL
3715	liver	Rattus norvegicus	colchicine	Control	0	milligram per kilogram	24	hour	003017358019.CEL
3749	liver	Rattus norvegicus	colchicine	High	15	milligram per kilogram	24	hour	003017358026.CEL
3750	liver	Rattus norvegicus	colchicine	High	15	milligram per kilogram	24	hour	003017358027.CEL
3751	liver	Rattus norvegicus	colchicine	High	15	milligram per kilogram	24	hour	003017358028.CEL
3756	hepatocyte	Rattus norvegicus	colchicine	Control	0	micromolar	24	hour	003017329019.CEL
3757	hepatocyte	Rattus norvegicus	colchicine	Control	0	micromolar	24	hour	003017329020.CEL
3774	hepatocyte	Rattus norvegicus	colchicine	High	5000	micromolar	24	hour	003017329025.CEL
3775	hepatocyte	Rattus norvegicus	colchicine	High	5000	micromolar	24	hour	003017329026.CEL
3780	hepatocyte	Homo sapiens	coumarin	Control	0	micromolar	24	hour	003016040019.CEL
3781	hepatocyte	Homo sapiens	coumarin	Control	0	micromolar	24	hour	003016040020.CEL
3798	hepatocyte	Homo sapiens	coumarin	High	300	micromolar	24	hour	003016040025.CEL
3799	hepatocyte	Homo sapiens	coumarin	High	300	micromolar	24	hour	003016040026.CEL
3809	liver	Rattus norvegicus	coumarin	Control	0	milligram per kilogram	24	hour	003017685029.CEL
3810	liver	Rattus norvegicus	coumarin	Control	0	milligram per kilogram	24	hour	003017685030.CEL
3811	liver	Rattus norvegicus	coumarin	Control	0	milligram per kilogram	24	hour	003017686001.CEL
3845	liver	Rattus norvegicus	coumarin	High	150	milligram per kilogram	24	hour	003017686008.CEL
3846	liver	Rattus norvegicus	coumarin	High	150	milligram per kilogram	24	hour	003017686009.CEL
3847	liver	Rattus norvegicus	coumarin	High	150	milligram per kilogram	24	hour	003017686010.CEL
3852	hepatocyte	Rattus norvegicus	coumarin	Control	0	micromolar	24	hour	003017069017.CEL
3853	hepatocyte	Rattus norvegicus	coumarin	Control	0	micromolar	24	hour	003017069018.CEL
3870	hepatocyte	Rattus norvegicus	coumarin	High	300	micromolar	24	hour	003017068005.CEL
3871	hepatocyte	Rattus norvegicus	coumarin	High	300	micromolar	24	hour	003017068006.CEL
3876	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	24	hour	003016035022.CEL
3877	hepatocyte	Homo sapiens	cyclophosphamide	Control	0	micromolar	24	hour	003016035023.CEL
3894	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035028.CEL
3895	hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035029.CEL
3905	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621027.CEL
3906	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621028.CEL
3907	liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621029.CEL
3941	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622006.CEL
3942	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622007.CEL
3943	liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622008.CEL
3953	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232008.CEL
3954	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232009.CEL
3955	kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232010.CEL
3989	kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232017.CEL
3990	kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232018.CEL
3991	kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232019.CEL
3996	hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	24	hour	003017057027.CEL
3997	hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	24	hour	003017057028.CEL
4014	hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	24	hour	003017058003.CEL
4015	hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	24	hour	003017058004.CEL
4025	liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590013.CEL
4026	liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590014.CEL
4027	liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590015.CEL
4061	liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590022.CEL
4062	liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590023.CEL
4063	liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590024.CEL
4073	kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568025.CEL
4074	kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568026.CEL
4075	kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568027.CEL
4109	kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569004.CEL
4110	kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569005.CEL
4111	kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569006.CEL
4116	hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	24	hour	003017361027.CEL
4117	hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	24	hour	003017361028.CEL
4134	hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	24	hour	003017362003.CEL
4135	hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	24	hour	003017362004.CEL
4138	hepatocyte	Homo sapiens	danazol	Control	0	micromolar	24	hour	003016086021.CEL
4139	hepatocyte	Homo sapiens	danazol	Control	0	micromolar	24	hour	003016086022.CEL
4146	hepatocyte	Homo sapiens	danazol	High	35	micromolar	24	hour	003016086025.CEL
4147	hepatocyte	Homo sapiens	danazol	High	35	micromolar	24	hour	003016086026.CEL
4157	liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480012.CEL
4158	liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480013.CEL
4159	liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480014.CEL
4193	liver	Rattus norvegicus	danazol	High	2000	milligram per kilogram	24	hour	003017480021.CEL
4194	liver	Rattus norvegicus	danazol	High	2000	milligram per kilogram	24	hour	003017480022.CEL
4195	liver	Rattus norvegicus	danazol	High	2000	milligram per kilogram	24	hour	003017480023.CEL
4200	hepatocyte	Rattus norvegicus	danazol	Control	0	micromolar	24	hour	003017357003.CEL
4201	hepatocyte	Rattus norvegicus	danazol	Control	0	micromolar	24	hour	003017357004.CEL
4218	hepatocyte	Rattus norvegicus	danazol	High	35	micromolar	24	hour	003017357009.CEL
4219	hepatocyte	Rattus norvegicus	danazol	High	35	micromolar	24	hour	003017357010.CEL
4222	hepatocyte	Homo sapiens	dantrolene	Control	0	micromolar	24	hour	003016085003.CEL
4223	hepatocyte	Homo sapiens	dantrolene	Control	0	micromolar	24	hour	003016085004.CEL
4230	hepatocyte	Homo sapiens	dantrolene	High	10	micromolar	24	hour	003016085007.CEL
4231	hepatocyte	Homo sapiens	dantrolene	High	10	micromolar	24	hour	003016085008.CEL
4241	liver	Rattus norvegicus	dantrolene	Control	0	milligram per kilogram	24	hour	003017390017.CEL
4242	liver	Rattus norvegicus	dantrolene	Control	0	milligram per kilogram	24	hour	003017390018.CEL
4243	liver	Rattus norvegicus	dantrolene	Control	0	milligram per kilogram	24	hour	003017390019.CEL
4277	liver	Rattus norvegicus	dantrolene	High	250	milligram per kilogram	24	hour	003017390026.CEL
4278	liver	Rattus norvegicus	dantrolene	High	250	milligram per kilogram	24	hour	003017390027.CEL
4279	liver	Rattus norvegicus	dantrolene	High	250	milligram per kilogram	24	hour	003017390028.CEL
4284	hepatocyte	Rattus norvegicus	dantrolene	Control	0	micromolar	24	hour	003017346021.CEL
4285	hepatocyte	Rattus norvegicus	dantrolene	Control	0	micromolar	24	hour	003017346022.CEL
4302	hepatocyte	Rattus norvegicus	dantrolene	High	10	micromolar	24	hour	003017346027.CEL
4303	hepatocyte	Rattus norvegicus	dantrolene	High	10	micromolar	24	hour	003017346028.CEL
4308	hepatocyte	Homo sapiens	diazepam	Control	0	micromolar	24	hour	003016031023.CEL
4309	hepatocyte	Homo sapiens	diazepam	Control	0	micromolar	24	hour	003016031024.CEL
4326	hepatocyte	Homo sapiens	diazepam	High	250	micromolar	24	hour	003016031029.CEL
4327	hepatocyte	Homo sapiens	diazepam	High	250	micromolar	24	hour	003016031030.CEL
4337	liver	Rattus norvegicus	diazepam	Control	0	milligram per kilogram	24	hour	003017683017.CEL
4338	liver	Rattus norvegicus	diazepam	Control	0	milligram per kilogram	24	hour	003017683018.CEL
4339	liver	Rattus norvegicus	diazepam	Control	0	milligram per kilogram	24	hour	003017683019.CEL
4373	liver	Rattus norvegicus	diazepam	High	250	milligram per kilogram	24	hour	003017683026.CEL
4374	liver	Rattus norvegicus	diazepam	High	250	milligram per kilogram	24	hour	003017683027.CEL
4375	liver	Rattus norvegicus	diazepam	High	250	milligram per kilogram	24	hour	003017683028.CEL
4380	hepatocyte	Rattus norvegicus	diazepam	Control	0	micromolar	24	hour	003017063017.CEL
4381	hepatocyte	Rattus norvegicus	diazepam	Control	0	micromolar	24	hour	003017063018.CEL
4398	hepatocyte	Rattus norvegicus	diazepam	High	125	micromolar	24	hour	003017063023.CEL
4399	hepatocyte	Rattus norvegicus	diazepam	High	125	micromolar	24	hour	003017063024.CEL
4404	hepatocyte	Homo sapiens	diclofenac	Control	0	micromolar	24	hour	003016039001.CEL
4405	hepatocyte	Homo sapiens	diclofenac	Control	0	micromolar	24	hour	003016039002.CEL
4422	hepatocyte	Homo sapiens	diclofenac	High	400	micromolar	24	hour	003016039007.CEL
4423	hepatocyte	Homo sapiens	diclofenac	High	400	micromolar	24	hour	003016039008.CEL
4433	liver	Rattus norvegicus	diclofenac	Control	0	milligram per kilogram	24	hour	003017641011.CEL
4434	liver	Rattus norvegicus	diclofenac	Control	0	milligram per kilogram	24	hour	003017641012.CEL
4435	liver	Rattus norvegicus	diclofenac	Control	0	milligram per kilogram	24	hour	003017641013.CEL
4469	liver	Rattus norvegicus	diclofenac	High	100	milligram per kilogram	24	hour	003017641020.CEL
4470	liver	Rattus norvegicus	diclofenac	High	100	milligram per kilogram	24	hour	003017641021.CEL
4471	liver	Rattus norvegicus	diclofenac	High	100	milligram per kilogram	24	hour	003017641022.CEL
4476	hepatocyte	Rattus norvegicus	diclofenac	Control	0	micromolar	24	hour	003017033005.CEL
4477	hepatocyte	Rattus norvegicus	diclofenac	Control	0	micromolar	24	hour	003017033006.CEL
4494	hepatocyte	Rattus norvegicus	diclofenac	High	400	micromolar	24	hour	003017034005.CEL
4495	hepatocyte	Rattus norvegicus	diclofenac	High	400	micromolar	24	hour	003017034006.CEL
4498	hepatocyte	Homo sapiens	diltiazem	Control	0	micromolar	24	hour	003016077007.CEL
4499	hepatocyte	Homo sapiens	diltiazem	Control	0	micromolar	24	hour	003016077008.CEL
4506	hepatocyte	Homo sapiens	diltiazem	High	150	micromolar	24	hour	003016077011.CEL
4507	hepatocyte	Homo sapiens	diltiazem	High	150	micromolar	24	hour	003016077012.CEL
4517	liver	Rattus norvegicus	diltiazem	Control	0	milligram per kilogram	24	hour	003017295028.CEL
4518	liver	Rattus norvegicus	diltiazem	Control	0	milligram per kilogram	24	hour	003017295029.CEL
4519	liver	Rattus norvegicus	diltiazem	Control	0	milligram per kilogram	24	hour	003017295030.CEL
4553	liver	Rattus norvegicus	diltiazem	High	800	milligram per kilogram	24	hour	003017296006.CEL
4554	liver	Rattus norvegicus	diltiazem	High	800	milligram per kilogram	24	hour	003017296007.CEL
4555	liver	Rattus norvegicus	diltiazem	High	800	milligram per kilogram	24	hour	003017296008.CEL
4560	hepatocyte	Rattus norvegicus	diltiazem	Control	0	micromolar	24	hour	003017299017.CEL
4561	hepatocyte	Rattus norvegicus	diltiazem	Control	0	micromolar	24	hour	003017299018.CEL
4578	hepatocyte	Rattus norvegicus	diltiazem	High	250	micromolar	24	hour	003017299023.CEL
4579	hepatocyte	Rattus norvegicus	diltiazem	High	250	micromolar	24	hour	003017299024.CEL
4582	hepatocyte	Homo sapiens	disopyramide	Control	0	micromolar	24	hour	003016074012.CEL
4583	hepatocyte	Homo sapiens	disopyramide	Control	0	micromolar	24	hour	003016074013.CEL
4590	hepatocyte	Homo sapiens	disopyramide	High	3500	micromolar	24	hour	003016074016.CEL
4591	hepatocyte	Homo sapiens	disopyramide	High	3500	micromolar	24	hour	003016074017.CEL
4601	liver	Rattus norvegicus	disopyramide	Control	0	milligram per kilogram	24	hour	003017229015.CEL
4602	liver	Rattus norvegicus	disopyramide	Control	0	milligram per kilogram	24	hour	003017229016.CEL
4603	liver	Rattus norvegicus	disopyramide	Control	0	milligram per kilogram	24	hour	003017229017.CEL
4637	liver	Rattus norvegicus	disopyramide	High	400	milligram per kilogram	24	hour	003017229024.CEL
4638	liver	Rattus norvegicus	disopyramide	High	400	milligram per kilogram	24	hour	003017229025.CEL
4639	liver	Rattus norvegicus	disopyramide	High	400	milligram per kilogram	24	hour	003017229026.CEL
4644	hepatocyte	Rattus norvegicus	disopyramide	Control	0	micromolar	24	hour	003017258019.CEL
4645	hepatocyte	Rattus norvegicus	disopyramide	Control	0	micromolar	24	hour	003017258020.CEL
4662	hepatocyte	Rattus norvegicus	disopyramide	High	2500	micromolar	24	hour	003017258025.CEL
4663	hepatocyte	Rattus norvegicus	disopyramide	High	2500	micromolar	24	hour	003017258026.CEL
4666	hepatocyte	Homo sapiens	disulfiram	Control	0	micromolar	24	hour	003016075018.CEL
4667	hepatocyte	Homo sapiens	disulfiram	Control	0	micromolar	24	hour	003016075019.CEL
4674	hepatocyte	Homo sapiens	disulfiram	High	60	micromolar	24	hour	003016075022.CEL
4675	hepatocyte	Homo sapiens	disulfiram	High	60	micromolar	24	hour	003016075023.CEL
4685	liver	Rattus norvegicus	disulfiram	Control	0	milligram per kilogram	24	hour	003017328021.CEL
4686	liver	Rattus norvegicus	disulfiram	Control	0	milligram per kilogram	24	hour	003017328022.CEL
4687	liver	Rattus norvegicus	disulfiram	Control	0	milligram per kilogram	24	hour	003017328023.CEL
4721	liver	Rattus norvegicus	disulfiram	High	600	milligram per kilogram	24	hour	003017328030.CEL
4722	liver	Rattus norvegicus	disulfiram	High	600	milligram per kilogram	24	hour	003017329001.CEL
4723	liver	Rattus norvegicus	disulfiram	High	600	milligram per kilogram	24	hour	003017329002.CEL
4728	hepatocyte	Rattus norvegicus	disulfiram	Control	0	micromolar	24	hour	003017326013.CEL
4729	hepatocyte	Rattus norvegicus	disulfiram	Control	0	micromolar	24	hour	003017326014.CEL
4746	hepatocyte	Rattus norvegicus	disulfiram	High	60	micromolar	24	hour	003017326019.CEL
4747	hepatocyte	Rattus norvegicus	disulfiram	High	60	micromolar	24	hour	003017326020.CEL
4757	liver	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017604001.CEL
4758	liver	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017604002.CEL
4759	liver	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017604003.CEL
4793	liver	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017604010.CEL
4794	liver	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017604011.CEL
4795	liver	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017604012.CEL
4805	kidney	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017599013.CEL
4806	kidney	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017599014.CEL
4807	kidney	Rattus norvegicus	doxorubicin	Control	0	milligram per kilogram	24	hour	003017599015.CEL
4841	kidney	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017599022.CEL
4842	kidney	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017599023.CEL
4843	kidney	Rattus norvegicus	doxorubicin	High	10	milligram per kilogram	24	hour	003017599024.CEL
4848	hepatocyte	Rattus norvegicus	doxorubicin	Control	0	micromolar	24	hour	003017474022.CEL
4849	hepatocyte	Rattus norvegicus	doxorubicin	Control	0	micromolar	24	hour	003017474023.CEL
4866	hepatocyte	Rattus norvegicus	doxorubicin	High	2	micromolar	24	hour	003017474028.CEL
4867	hepatocyte	Rattus norvegicus	doxorubicin	High	2	micromolar	24	hour	003017474029.CEL
4870	hepatocyte	Homo sapiens	enalapril	Control	0	micromolar	24	hour	003016072021.CEL
4871	hepatocyte	Homo sapiens	enalapril	Control	0	micromolar	24	hour	003016072022.CEL
4878	hepatocyte	Homo sapiens	enalapril	High	2000	micromolar	24	hour	003016072025.CEL
4879	hepatocyte	Homo sapiens	enalapril	High	2000	micromolar	24	hour	003016072026.CEL
4889	liver	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017310013.CEL
4890	liver	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017310014.CEL
4891	liver	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017310015.CEL
4925	liver	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017310022.CEL
4926	liver	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017310023.CEL
4927	liver	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017310024.CEL
4937	kidney	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017781012.CEL
4938	kidney	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017781013.CEL
4939	kidney	Rattus norvegicus	enalapril	Control	0	milligram per kilogram	24	hour	003017781014.CEL
4973	kidney	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017781021.CEL
4974	kidney	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017781022.CEL
4975	kidney	Rattus norvegicus	enalapril	High	600	milligram per kilogram	24	hour	003017781023.CEL
4980	hepatocyte	Rattus norvegicus	enalapril	Control	0	micromolar	24	hour	003017293027.CEL
4981	hepatocyte	Rattus norvegicus	enalapril	Control	0	micromolar	24	hour	003017293028.CEL
4998	hepatocyte	Rattus norvegicus	enalapril	High	2000	micromolar	24	hour	003017294003.CEL
4999	hepatocyte	Rattus norvegicus	enalapril	High	2000	micromolar	24	hour	003017294004.CEL
5002	hepatocyte	Homo sapiens	erythromycin ethylsuccinate	Control	0	micromolar	24	hour	003016069002.CEL
5003	hepatocyte	Homo sapiens	erythromycin ethylsuccinate	Control	0	micromolar	24	hour	003016069003.CEL
5010	hepatocyte	Homo sapiens	erythromycin ethylsuccinate	High	5	micromolar	24	hour	003016069006.CEL
5011	hepatocyte	Homo sapiens	erythromycin ethylsuccinate	High	5	micromolar	24	hour	003016069007.CEL
5021	liver	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017189026.CEL
5022	liver	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017189027.CEL
5023	liver	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017189028.CEL
5057	liver	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017190028.CEL
5058	liver	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017190029.CEL
5059	liver	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017190030.CEL
5069	kidney	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017840017.CEL
5070	kidney	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017840018.CEL
5071	kidney	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	milligram per kilogram	24	hour	003017840019.CEL
5105	kidney	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017840026.CEL
5106	kidney	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017840027.CEL
5107	kidney	Rattus norvegicus	erythromycin ethylsuccinate	High	1000	milligram per kilogram	24	hour	003017840028.CEL
5112	hepatocyte	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	micromolar	24	hour	003017259013.CEL
5113	hepatocyte	Rattus norvegicus	erythromycin ethylsuccinate	Control	0	micromolar	24	hour	003017259014.CEL
5130	hepatocyte	Rattus norvegicus	erythromycin ethylsuccinate	High	75	micromolar	24	hour	003017259019.CEL
5131	hepatocyte	Rattus norvegicus	erythromycin ethylsuccinate	High	75	micromolar	24	hour	003017259020.CEL
5134	hepatocyte	Homo sapiens	ethambutol	Control	0	micromolar	24	hour	003016069014.CEL
5135	hepatocyte	Homo sapiens	ethambutol	Control	0	micromolar	24	hour	003016069015.CEL
5142	hepatocyte	Homo sapiens	ethambutol	High	4000	micromolar	24	hour	003016069018.CEL
