Characteristics[CellType]	Characteristics[Organism]	Parameter Value[Compound]	Parameter Value[DoseLevel]	Parameter Value[Dose]	Unit[ConcentrationUnit]	Parameter Value[TimeOfCollection]	Unit[TimeUnit]	Array Data File
hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	2	hour	003016035013.CEL
hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	8	hour	003016035020.CEL
hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	8	hour	003016035021.CEL
hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035028.CEL
hepatocyte	Homo sapiens	cyclophosphamide	High	2000	micromolar	24	hour	003016035029.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017622009.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017622011.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017641029.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622021.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622022.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017622023.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621015.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621016.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017621017.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621027.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621028.CEL
liver	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017621029.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622012.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622013.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	3	hour	003017622014.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622024.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622025.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	6	hour	003017622026.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621018.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621019.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	9	hour	003017621020.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017621030.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017622001.CEL
liver	Rattus norvegicus	cyclophosphamide	Low	15	milligram per kilogram	24	hour	003017622002.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017622016.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017641030.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	3	hour	003017642001.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622027.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622028.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	6	hour	003017622029.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621021.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621022.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	9	hour	003017621023.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622003.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622004.CEL
liver	Rattus norvegicus	cyclophosphamide	Middle	50	milligram per kilogram	24	hour	003017622005.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622018.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622019.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	3	hour	003017622020.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017622030.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017623001.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	6	hour	003017623002.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621024.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621025.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	9	hour	003017621026.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622006.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622007.CEL
liver	Rattus norvegicus	cyclophosphamide	High	150	milligram per kilogram	24	hour	003017622008.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242022.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242023.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	3	hour	003017242024.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243004.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243005.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	6	hour	003017243006.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231026.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231027.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	9	hour	003017231028.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232008.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232009.CEL
kidney	Rattus norvegicus	cyclophosphamide	Control	0	milligram per kilogram	24	hour	003017232010.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242025.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242026.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	3	hour	003017242027.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243007.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243008.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	6	hour	003017243009.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017231029.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017231030.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	9	hour	003017232001.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232011.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232012.CEL
kidney	Rattus norvegicus	cyclophosphamide	Low	01.maj	milligram per kilogram	24	hour	003017232013.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242028.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242029.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	3	hour	003017242030.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243010.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243011.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	6	hour	003017243012.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	9	hour	003017232002.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	9	hour	003017232003.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	9	hour	003017232004.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	24	hour	003017232014.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	24	hour	003017232015.CEL
kidney	Rattus norvegicus	cyclophosphamide	Middle	5	milligram per kilogram	24	hour	003017232016.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	3	hour	003017243001.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	3	hour	003017243002.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	3	hour	003017243003.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	6	hour	003017243013.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	6	hour	003017243014.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	6	hour	003017243015.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	9	hour	003017232005.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	9	hour	003017232006.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	9	hour	003017232007.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232017.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232018.CEL
kidney	Rattus norvegicus	cyclophosphamide	High	15	milligram per kilogram	24	hour	003017232019.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	2	hour	003017057011.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	2	hour	003017057012.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	8	hour	003017057019.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	8	hour	003017057020.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	24	hour	003017057027.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Control	0	micromolar	24	hour	003017057028.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	2	hour	003017057013.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	2	hour	003017057014.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	8	hour	003017057021.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	8	hour	003017057022.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	24	hour	003017057029.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Low	8	micromolar	24	hour	003017057030.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	2	hour	003017057015.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	2	hour	003017057016.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	8	hour	003017057023.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	8	hour	003017057024.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	24	hour	003017058001.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	Middle	40	micromolar	24	hour	003017058002.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	2	hour	003017057017.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	2	hour	003017057018.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	8	hour	003017057025.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	8	hour	003017057026.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	24	hour	003017058003.CEL
hepatocyte	Rattus norvegicus	cyclophosphamide	High	200	micromolar	24	hour	003017058004.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017588013.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017588014.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017588015.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017588025.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017588026.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017615003.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017590001.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017590002.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017590003.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590013.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590014.CEL
liver	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017590015.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017588017.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017588018.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017614030.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017588028.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017588029.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017588030.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017590004.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017590005.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017590006.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017590016.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017590017.CEL
liver	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017590018.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017588021.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017615001.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017615002.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017589001.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017589002.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017615004.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017590007.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017590008.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017590009.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017590019.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017590020.CEL
liver	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017590021.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017588022.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017588023.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017588024.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017589004.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017589005.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017589006.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017590010.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017590011.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017590012.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590022.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590023.CEL
liver	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017590024.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017539010.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017539011.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	3	hour	003017539012.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017539022.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017539023.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	6	hour	003017539024.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017566029.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017566030.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	9	hour	003017568015.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568025.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568026.CEL
kidney	Rattus norvegicus	cyclosporine A	Control	0	milligram per kilogram	24	hour	003017568027.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017539013.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017539014.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	3	hour	003017539015.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017539025.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017539026.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	6	hour	003017539027.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017568016.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017568017.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	9	hour	003017568018.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017568028.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017568029.CEL
kidney	Rattus norvegicus	cyclosporine A	Low	30	milligram per kilogram	24	hour	003017568030.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017539016.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017539017.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	3	hour	003017539018.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017539028.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017539029.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	6	hour	003017539030.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017568019.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017568020.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	9	hour	003017568021.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017569001.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017569002.CEL
kidney	Rattus norvegicus	cyclosporine A	Middle	100	milligram per kilogram	24	hour	003017569003.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017539019.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017539020.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	3	hour	003017539021.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017540001.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017540002.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	6	hour	003017540003.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017568022.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017568023.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	9	hour	003017568024.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569004.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569005.CEL
kidney	Rattus norvegicus	cyclosporine A	High	300	milligram per kilogram	24	hour	003017569006.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	2	hour	003017361011.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	2	hour	003017361012.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	8	hour	003017361019.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	8	hour	003017361020.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	24	hour	003017361027.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Control	0	micromolar	24	hour	003017361028.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	2	hour	003017361013.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	2	hour	003017361014.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	8	hour	003017361021.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	8	hour	003017361022.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	24	hour	003017361029.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Low	0.24	micromolar	24	hour	003017361030.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	2	hour	003017361015.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	2	hour	003017361016.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	8	hour	003017361023.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	8	hour	003017361024.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	24	hour	003017362001.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	Middle	01.lut	micromolar	24	hour	003017362002.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	2	hour	003017361017.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	2	hour	003017361018.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	8	hour	003017361025.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	8	hour	003017361026.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	24	hour	003017362003.CEL
hepatocyte	Rattus norvegicus	cyclosporine A	High	6	micromolar	24	hour	003017362004.CEL
hepatocyte	Homo sapiens	danazol	Control	0	micromolar	8	hour	003016086015.CEL
hepatocyte	Homo sapiens	danazol	Control	0	micromolar	8	hour	003016086016.CEL
hepatocyte	Homo sapiens	danazol	Control	0	micromolar	24	hour	003016086021.CEL
hepatocyte	Homo sapiens	danazol	Control	0	micromolar	24	hour	003016086022.CEL
hepatocyte	Homo sapiens	danazol	Middle	7	micromolar	8	hour	003016086017.CEL
hepatocyte	Homo sapiens	danazol	Middle	7	micromolar	8	hour	003016086018.CEL
hepatocyte	Homo sapiens	danazol	Middle	7	micromolar	24	hour	003016086023.CEL
hepatocyte	Homo sapiens	danazol	Middle	7	micromolar	24	hour	003016086024.CEL
hepatocyte	Homo sapiens	danazol	High	35	micromolar	8	hour	003016086019.CEL
hepatocyte	Homo sapiens	danazol	High	35	micromolar	8	hour	003016086020.CEL
hepatocyte	Homo sapiens	danazol	High	35	micromolar	24	hour	003016086025.CEL
hepatocyte	Homo sapiens	danazol	High	35	micromolar	24	hour	003016086026.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	3	hour	003017467025.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	3	hour	003017513022.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	3	hour	003017513023.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	6	hour	003017513026.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	6	hour	003017513027.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	6	hour	003017513028.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	9	hour	003017479030.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	9	hour	003017480001.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	9	hour	003017480002.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480012.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480013.CEL
liver	Rattus norvegicus	danazol	Control	0	milligram per kilogram	24	hour	003017480014.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	3	hour	003017467029.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	3	hour	003017513024.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	3	hour	003017513025.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	6	hour	003017513029.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	6	hour	003017513030.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	6	hour	003017514001.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	9	hour	003017480003.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	9	hour	003017480004.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	9	hour	003017480005.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	24	hour	003017480015.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	24	hour	003017480016.CEL
liver	Rattus norvegicus	danazol	Low	300	milligram per kilogram	24	hour	003017480017.CEL
